DriverNumber,FullName,TeamName,GridPosition,Q1_seconds,Q2_seconds,Q3_seconds,RacePosition,Status,Points,TimeDelta,Season,Round,EventName,FinishPosition
44,Lewis Hamilton,Mercedes,1.0,84.191,83.251,82.188,2.0,Finished,18.0,9.975,2017,1,Australian Grand Prix,2.0
5,Sebastian Vettel,Ferrari,2.0,85.21,83.401,82.456,1.0,Finished,25.0,5051.672,2017,1,Australian Grand Prix,1.0
77,Valtteri Bottas,Mercedes,3.0,84.514,83.215,82.481,3.0,Finished,15.0,11.25,2017,1,Australian Grand Prix,3.0
7,Kimi Räikkönen,Ferrari,4.0,84.352,83.376,83.033,4.0,Finished,12.0,22.393,2017,1,Australian Grand Prix,4.0
33,Max Verstappen,Red Bull,5.0,84.482,84.092,83.485,5.0,Finished,10.0,28.827,2017,1,Australian Grand Prix,5.0
8,Romain Grosjean,Haas F1 Team,6.0,85.419,84.718,84.074,20.0,Water leak,0.0,,2017,1,Australian Grand Prix,20.0
19,Felipe Massa,Williams,7.0,85.099,84.597,84.443,6.0,Finished,8.0,83.386,2017,1,Australian Grand Prix,6.0
55,Carlos Sainz,Toro Rosso,8.0,85.542,84.997,84.487,8.0,+1 Lap,4.0,,2017,1,Australian Grand Prix,8.0
26,Daniil Kvyat,Toro Rosso,9.0,85.97,84.864,84.512,9.0,+1 Lap,2.0,,2017,1,Australian Grand Prix,9.0
3,Daniel Ricciardo,Red Bull,10.0,85.383,83.989,,17.0,Power Unit,0.0,,2017,1,Australian Grand Prix,17.0
11,Sergio Pérez,Force India,11.0,85.064,85.081,,7.0,+1 Lap,6.0,,2017,1,Australian Grand Prix,7.0
27,Nico Hülkenberg,Renault,12.0,84.975,85.091,,11.0,+1 Lap,0.0,,2017,1,Australian Grand Prix,11.0
14,Fernando Alonso,McLaren,13.0,85.872,85.425,,14.0,Vibrations,0.0,,2017,1,Australian Grand Prix,14.0
31,Esteban Ocon,Force India,14.0,86.009,85.568,,10.0,+1 Lap,1.0,,2017,1,Australian Grand Prix,10.0
9,Marcus Ericsson,Sauber,15.0,86.236,86.465,,18.0,Hydraulics,0.0,,2017,1,Australian Grand Prix,18.0
36,Antonio Giovinazzi,Sauber,16.0,86.419,,,12.0,+2 Laps,0.0,,2017,1,Australian Grand Prix,12.0
20,Kevin Magnussen,Haas F1 Team,17.0,86.847,,,15.0,Suspension,0.0,,2017,1,Australian Grand Prix,15.0
2,Stoffel Vandoorne,McLaren,18.0,86.858,,,13.0,+2 Laps,0.0,,2017,1,Australian Grand Prix,13.0
18,Lance Stroll,Williams,19.0,87.143,,,16.0,Brakes,0.0,,2017,1,Australian Grand Prix,16.0
30,Jolyon Palmer,Renault,20.0,88.244,,,19.0,Brakes,0.0,,2017,1,Australian Grand Prix,19.0
44,Lewis Hamilton,Mercedes,1.0,93.333,92.406,91.678,1.0,Finished,25.0,5856.158,2017,2,Chinese Grand Prix,1.0
5,Sebastian Vettel,Ferrari,2.0,93.078,92.391,91.864,2.0,Finished,18.0,6.25,2017,2,Chinese Grand Prix,2.0
77,Valtteri Bottas,Mercedes,3.0,93.684,92.552,91.865,6.0,Finished,8.0,48.808,2017,2,Chinese Grand Prix,6.0
7,Kimi Räikkönen,Ferrari,4.0,93.341,92.181,92.14,5.0,Finished,10.0,48.076,2017,2,Chinese Grand Prix,5.0
3,Daniel Ricciardo,Red Bull,5.0,94.041,93.546,93.033,4.0,Finished,12.0,46.035,2017,2,Chinese Grand Prix,4.0
19,Felipe Massa,Williams,6.0,94.205,93.759,93.507,14.0,+1 Lap,0.0,,2017,2,Chinese Grand Prix,14.0
27,Nico Hülkenberg,Renault,7.0,94.453,93.636,93.58,12.0,+1 Lap,0.0,,2017,2,Chinese Grand Prix,12.0
11,Sergio Pérez,Force India,8.0,94.657,93.92,93.706,9.0,+1 Lap,2.0,,2017,2,Chinese Grand Prix,9.0
26,Daniil Kvyat,Toro Rosso,9.0,94.44,94.034,93.719,17.0,Hydraulics,0.0,,2017,2,Chinese Grand Prix,17.0
18,Lance Stroll,Williams,10.0,93.986,94.09,94.22,20.0,Collision,0.0,,2017,2,Chinese Grand Prix,20.0
55,Carlos Sainz,Toro Rosso,11.0,94.567,94.15,,7.0,Finished,6.0,72.893,2017,2,Chinese Grand Prix,7.0
20,Kevin Magnussen,Haas F1 Team,12.0,94.942,94.164,,8.0,+1 Lap,4.0,,2017,2,Chinese Grand Prix,8.0
14,Fernando Alonso,McLaren,13.0,94.499,94.372,,16.0,Driveshaft,0.0,,2017,2,Chinese Grand Prix,16.0
9,Marcus Ericsson,Sauber,14.0,94.892,95.046,,15.0,+1 Lap,0.0,,2017,2,Chinese Grand Prix,15.0
36,Antonio Giovinazzi,Sauber,15.0,94.963,,,19.0,Accident,0.0,,2017,2,Chinese Grand Prix,19.0
